,Unnamed: 0,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,team,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score,Home
873,873,4.0,2.0,0.0,3.0,1.0,20.25,5.0,8.0,3.0,3.0,3.0,26.0,0.0,5.0,9.0,5.0,1.0,7.0,400827890.0,Klay Thompson,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
874,874,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,2.0,0.0,1.0,2.0,400827890.0,James Michael McAdoo,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
875,875,-7.0,0.0,0.0,1.0,1.0,23.0,1.0,10.0,6.0,2.0,1.0,17.0,3.0,2.0,13.0,4.0,1.0,1.0,400827890.0,Festus Ezeli,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
876,876,2.0,1.0,1.0,1.0,1.0,18.25,1.0,7.0,2.0,4.0,4.0,11.0,4.0,1.0,9.0,5.0,0.0,2.0,400827890.0,Marreese Speights,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
877,877,12.0,2.0,0.0,2.0,1.0,14.75,3.0,6.0,3.0,0.0,0.0,21.0,0.0,1.0,6.0,3.0,0.0,0.0,400827890.0,Shaun Livingston,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
878,878,-3.0,2.0,0.0,2.0,1.0,11.0,5.0,6.0,0.0,0.0,0.0,21.0,1.0,3.0,0.0,6.0,0.0,3.0,400827890.0,Leandro Barbosa,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
879,879,1.0,1.0,0.0,3.0,0.0,14.25,4.0,3.0,1.0,0.0,0.0,23.0,1.0,2.0,2.0,5.0,1.0,1.0,400827890.0,Andre Iguodala,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
880,880,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,400827890.0,Brandon Rush,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
1580,1580,1.0,7.0,3.0,4.0,2.0,38.5,4.0,17.0,6.0,3.0,3.0,35.0,4.0,0.0,18.0,8.0,0.0,2.0,400827889.0,Kevin Love,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1605,1605,,,,,,,,,,,,,,,,,,,400827889.0,Kirk Hinrich,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
1602,1602,4.0,2.0,1.0,1.0,0.0,16.75,3.0,8.0,5.0,0.0,0.0,14.0,0.0,3.0,11.0,3.0,0.0,0.0,400827889.0,E'Twaun Moore,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
1604,1604,,,,,,,,,,,,,,,,,,,400827889.0,Bobby Portis,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
2308,2308,-13.0,4.0,1.0,3.0,0.0,17.25,1.0,14.0,5.0,1.0,1.0,21.0,0.0,2.0,12.0,1.0,0.0,2.0,400827902.0,Jrue Holiday,New Orleans Pelicans,2,0,2015-10-28 00:00:00,Portland Trail Blazers,0,112,1,New Orleans Pelicans,94,0
2313,2313,1.0,3.0,1.0,8.0,0.0,27.0,4.0,14.0,3.0,2.0,0.0,29.0,0.0,5.0,7.0,4.0,2.0,3.0,400827902.0,Ish Smith,New Orleans Pelicans,2,0,2015-10-28 00:00:00,Portland Trail Blazers,0,112,1,New Orleans Pelicans,94,0
2312,2312,-10.0,0.0,0.0,0.0,0.0,4.5,1.0,3.0,0.0,2.0,2.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,400827902.0,Alexis Ajinca,New Orleans Pelicans,2,0,2015-10-28 00:00:00,Portland Trail Blazers,0,112,1,New Orleans Pelicans,94,0
